,error,pre_cap_scale,cap_scale,pose_cap_scale,diffusion_factor
circular_accel_stick_motion.csv
position,0.0943787729872,0.13,0.13,0.07,0.99999
rot_vel,90.9806700364,0.13,0.13,0.07,0.99999
vel_angle,0.391351941235,0.13,0.13,0.07,0.99999
vel_mag,0.849024801224,0.13,0.13,0.07,0.99999
y_swing_2.csv
position,0.117238616694,0.13,0.13,0.07,0.99999
rot_vel,59.9474988715,0.13,0.13,0.07,0.99999
vel_angle,0.516381454138,0.13,0.13,0.07,0.99999
vel_mag,0.51584838699,0.13,0.13,0.07,0.99999
z_hop_1.csv
position,0.0732290193531,0.13,0.13,0.07,0.99999
rot_vel,85.5067779012,0.13,0.13,0.07,0.99999
vel_angle,1.09066323094,0.13,0.13,0.07,0.99999
vel_mag,0.669235431346,0.13,0.13,0.07,0.99999
deceleration_diabolo_red_2.csv
position,0.0328282132349,0.13,0.13,0.07,0.99999
rot_vel,110.137333186,0.13,0.13,0.07,0.99999
vel_angle,1.31123265792,0.13,0.13,0.07,0.99999
vel_mag,0.154723995539,0.13,0.13,0.07,0.99999
throw_1.csv
position,0.201820884022,0.13,0.13,0.07,0.99999
rot_vel,116.537319033,0.13,0.13,0.07,0.99999
vel_angle,1.1922385684,0.13,0.13,0.07,0.99999
vel_mag,0.966830067148,0.13,0.13,0.07,0.99999
acceleration_1.csv
position,0.0511968970306,0.13,0.13,0.07,0.99999
rot_vel,64.4846852263,0.13,0.13,0.07,0.99999
vel_angle,1.03957155253,0.13,0.13,0.07,0.99999
vel_mag,0.651518712158,0.13,0.13,0.07,0.99999
